Course,Professor,TimeSlot,Room
320,YaL,TTH9301045,Gardner
890,YaL,MWF11151205,H125
113,GP,MWF125215,Hanes120
536,BS,MWF1220110,H125
305,WL,MWF230320,Hanes120
512,QTD,MWF125215,Hanes130
120,JMcL,MWF1220110,Hanes120
120,NF,TTH330445,Hanes120
642,VK,MWF230320,H125
245,PL,MWF800850,Hanes120
892,QTD,MWF800850,H125
155,WL,MWF545635,Gardner
572,NTA,TTH500615,Hanes130
113,GP,TTH330445,Gardner
320,RA,TTH500615,Gardner
893,SBh,TTH1230145,Hanes107
635,SBa,MWF905955,H125
891,SZ,MWF230320,Hanes130
455,KZ,TTH11001215,Gardner
556,VP,TTH500615,Hanes107
120,JMcL,MWF11151205,Hanes120
155,WL,TTH500615,Hanes120
415,AMN,TTH1230145,Hanes120
665,KZ,TTH800915,Hanes130
493,VK,MWF800850,Hanes130
538,MG,TTH330445,Hanes107
455,RLS,MWF545635,Hanes120
471,RA,MWF125215,H125
614,AMN,MWF905955,Hanes107
590,MG,TTH500615,H125
435,JH,TTH800915,Gardner
520,MG,MWF545635,H125
455,CJ,MWF905955,Hanes120
315,MOC,TTH800915,Hanes120
445,SZ,MWF125215,Gardner
320,RA,MWF230320,Gardner
545,MOC,MWF800850,Hanes107
435,CJ,MWF800850,Gardner
765,SM,MWF125215,Hanes107
435,JH,TTH9301045,Hanes120
