TimeSlot,Hanes120,Hanes107,Hanes130,H125,Gardner,GradStudentRoom
MWF800850,565 CZ,493 VK,,634 BS,,
MWF905955,435 SBh,,,,543 WL,
MWF10101100,535 NF,,641 SZ,,435 SBh,
MWF11151205,445 NTA,702 WL,612 MO,,120 JMcL,
MWF1220110,305 WL,472 RA,,881 SM,654 PL,
MWF125215,445 GC,,,,,
MWF230320,765 SM,890 AB,,712 MO,390 RA,
MWF545635,,,,664 DK,455 CJ,
TTH800915,120 VP,,,538 MG,,
TTH9301045,415 GP,892 JH,566 YaL,,320 ML,
TTH11001215,674 ZZ,590 MG,,,435 SBa,
TTH1230145,435 MOC,,,557 RLS,415 QTD,
TTH200315,155 SBa,,767 AN,,120 VP,
TTH330445,320 ML,,555 AN,,155 MG,
TTH500615,155 MG,,,475 RK,743 GC,
